Name,xcoord,ycoord
Dioscorea,220573.0354,471909.5487
Dioscorea,235980.4289,472330.6729
Dioscorea,280251.4241,472370.9572
Dioscorea,262731.616,486295.6493
Dioscorea,261122.1379,465603.2671
Dioscorea,252671.4945,471702.5055
Dioscorea,237074.2737,564936.0392
Dioscorea,351957.9565,484231.0032
Dioscorea,351111.6773,468597.208
Dioscorea,257516.3149,554080.7106
Dioscorea,274234.283,544842.9088
Dioscorea,276526.8165,570491.2497
Dioscorea,283689.176,561874.5595
Dioscorea,253570.774,569055.4267
Dioscorea,259768.4948,560751.5136
Dioscorea,202527.0261,537135.0087
Dioscorea,218146.294,540055.1236
Dioscorea,218190.7428,539732.7417
Dioscorea,252419.1688,539961.2464
Dioscorea,252419.1688,539961.2464
Dioscorea,252419.1688,539961.2464
Dioscorea,259111.0806,535524.9931
Dioscorea,259111.0806,535524.9931
Dioscorea,259111.0806,535524.9931
Dioscorea,281385.5905,542503.5231
Dioscorea,341135.1899,562315.0134
Dioscorea,326879.669,527680.3667
Dioscorea,250201.6622,496106.1461
Dioscorea,367269.5048,544489.3833
Dioscorea,283935.2797,502827.1476
Dioscorea,294025.7175,512816.8642
Dioscorea,282314.8561,512452.3552
Dioscorea,344867.7989,502322.0833
Dioscorea,345974.2355,509601.0201
Dioscorea,336951.8223,509147.1968
Dioscorea,341022.5915,499330.2857
Dioscorea,303596.4099,515255.7991
Dioscorea,198268.7348,475611.3619
Dioscorea,215665.2322,480121.4971
Dioscorea,215665.2322,480121.4971
Dioscorea,340056.8586,480707.3354
Dioscorea,351642.8435,482320.5088
Dioscorea,361502.7762,485305.8171
Dioscorea,222855.1957,547064.4996
Dioscorea,259312.9625,561022.6865
Dioscorea,259312.9625,561022.6865
Dioscorea,208812.5712,562050.2128
Dioscorea,207616.4338,562594.4501
Dioscorea,222631.6646,563912.1717
Dioscorea,207519.3009,566752.5003
Dioscorea,236032.9433,567939.4667
Dioscorea,253194.8564,568103.3309
Dioscorea,253194.8564,568103.3309
Dioscorea,220157.0915,568332.7619
Dioscorea,218066.069,568942.387
Dioscorea,274953.8227,570849.9793
Dioscorea,274953.8227,570849.9793
Dioscorea,274954.3452,572129.5196
Dioscorea,274954.3452,572129.5196
Dioscorea,274954.3452,572129.5196
Dioscorea,216105.3442,538725.1809
Dioscorea,219849.0108,538715.6053
Dioscorea,222893.7215,533547.3203
Dioscorea,272067.4375,524262.3805
Dioscorea,287399.3057,498935.2225
Dioscorea,249977.6827,494206.9922
Dioscorea,250586.1598,494470.8417
Dioscorea,251060.5368,497056.6303
Dioscorea,250156.1057,494324.2239
Dioscorea,251264.5472,495414.1853
Dioscorea,235248.9747,490432.2355
Dioscorea,235170.2642,492026.2564
Dioscorea,249452.8787,505252.4081
Dioscorea,249584.7269,505222.2176
Dioscorea,249378.4933,505119.4552
Dioscorea,250036.1543,504848.6435
Dioscorea,249919.7915,504829.7398
Dioscorea,249555.0686,504735.7044
Dioscorea,223105.9762,525024.1483
Dioscorea,197418.5827,536951.2815
Dioscorea,241591.0857,506515.9041
Dioscorea,240435.9758,506430.5951
Dioscorea,239079.3848,504119.5079
Dioscorea,240438.196,506430.7168
Dioscorea,270623.5406,496173.1416
Dioscorea,204584.9792,528178.1573
Dioscorea,204607.134,528168.9212
Dioscorea,209298.5522,497301.6797
Dioscorea,261227.5673,506350.8269
Dioscorea,261227.5673,506350.8269
Dioscorea,261692.387,505555.7159
Dioscorea,259618.7317,505636.3667
Dioscorea,281496.3365,501432.1505
Dioscorea,281496.3365,501432.1505
Dioscorea,275586.9876,507327.8991
Dioscorea,275586.9876,507327.8991
Dioscorea,276874.0482,510329.8995
Dioscorea,276873.2693,510144.9023
Dioscorea,266563.2894,497842.0239
Dioscorea,266563.2894,497842.0239
Dioscorea,266563.2894,497842.0239
Dioscorea,266563.2894,497842.0239
Dioscorea,266563.2894,497842.0239
Dioscorea,266563.2894,497842.0239
Dioscorea,266563.2894,497842.0239
Dioscorea,266563.2894,497842.0239
Dioscorea,260264.2984,498867.6286
Dioscorea,260264.2984,498867.6286
Dioscorea,260264.2984,498867.6286
Dioscorea,217242.8039,529138.041
Dioscorea,216165.4381,494893.9067
Dioscorea,216931.0589,512525.0035
Dioscorea,227438.6461,508591.2495
Dioscorea,230631.4662,496913.3916
Dioscorea,249267.4366,471006.7221
Dioscorea,320665.9329,485869.6322
Dioscorea,321068.7746,501094.1767
Dioscorea,321143.0783,503299.4314
Dioscorea,320028.6467,513171.869
Dioscorea,322007.9084,511866.343
Dioscorea,316246.1147,524406.7626
Dioscorea,311708.3835,522731.6801
Dioscorea,260971.7284,469375.4315
Dioscorea,262885.9243,471318.8907
Dioscorea,303313.6502,516134.8074
Dioscorea,306550.6976,507170.2075
Dioscorea,331413.4391,515940.8572
Dioscorea,329097.2572,506345.7618
Dioscorea,336045.4629,515974.1883
Dioscorea,339358.3578,501344.8363
Dioscorea,341418.4786,498972.6905
Dioscorea,345617.3187,500511.3968
Dioscorea,363257.6744,491995.2863
Dioscorea,317325.4894,532671.376
Dioscorea,316681.328,534641.4977
