Name,xcoord,ycoord
Ginkgo biloba L.,225375.559899999760091,564507.648800000548363
Ginkgo biloba L.,242460.254099999554455,554687.950400000438094
Ginkgo biloba L.,224277.397499999962747,552156.517500000074506
Ginkgo biloba L.,239564.455400000326335,564035.707800000905991
Ginkgo biloba L.,250663.099700000137091,550379.708699999377131
Ginkgo biloba L.,274106.397699999623001,545162.741000000387430
Ginkgo biloba L.,249561.840400000102818,537644.112199999392033
Ginkgo biloba L.,249561.840400000102818,537644.112199999392033
Ginkgo biloba L.,249561.840400000102818,537644.112199999392033
Ginkgo biloba L.,259718.878600000403821,535676.693800000473857
Ginkgo biloba L.,259718.878600000403821,535676.693800000473857
Ginkgo biloba L.,259718.878600000403821,535676.693800000473857
Ginkgo biloba L.,259718.878600000403821,535676.693800000473857
Ginkgo biloba L.,259718.878600000403821,535676.693800000473857
Ginkgo biloba L.,259718.878600000403821,535676.693800000473857
Ginkgo biloba L.,253667.492300000041723,522227.003100000321865
Ginkgo biloba L.,253667.492300000041723,522227.003100000321865
Ginkgo biloba L.,253667.492300000041723,522227.003100000321865
Ginkgo biloba L.,262352.899799999780953,523984.045399999246001
Ginkgo biloba L.,262352.899799999780953,523984.045399999246001
Ginkgo biloba L.,262352.899799999780953,523984.045399999246001
Ginkgo biloba L.,266063.232699999585748,525392.801300000399351
Ginkgo biloba L.,266063.232699999585748,525392.801300000399351
Ginkgo biloba L.,266063.232699999585748,525392.801300000399351
Ginkgo biloba L.,314523.981399999931455,534023.258700000122190
Ginkgo biloba L.,314673.769199999980628,526955.331800000742078
Ginkgo biloba L.,325820.347799999639392,526520.887800000607967
Ginkgo biloba L.,249622.915799999609590,505327.114299999549985
Ginkgo biloba L.,251154.620699999853969,494752.916899999603629
Ginkgo biloba L.,225823.409199999645352,480002.914799999445677
Ginkgo biloba L.,351620.912200000137091,482165.915300000458956
Ginkgo biloba L.,220750.819699999876320,546477.495200000703335
Ginkgo biloba L.,223398.996399999596179,547208.169600000604987
Ginkgo biloba L.,226811.483400000259280,552417.128200000151992
Ginkgo biloba L.,243470.151899999938905,553373.030999999493361
Ginkgo biloba L.,200706.499800000339746,555125.021099999547005
Ginkgo biloba L.,208812.571200000122190,562050.212799999862909
Ginkgo biloba L.,208036.432900000363588,562511.604699999094009
Ginkgo biloba L.,222329.683400000445545,563593.452600000426173
Ginkgo biloba L.,206034.410099999979138,567340.212600000202656
Ginkgo biloba L.,236032.943300000391901,567939.466700000688434
Ginkgo biloba L.,234772.424100000411272,543041.411100000143051
Ginkgo biloba L.,249464.121600000187755,505092.765799999237061
Ginkgo biloba L.,223676.541899999603629,542595.510700000450015
Ginkgo biloba L.,225025.774899999611080,542457.637700000777841
Ginkgo biloba L.,225236.831000000238419,529528.293199999257922
Ginkgo biloba L.,240262.062699999660254,506389.142200000584126
Ginkgo biloba L.,202819.373100000433624,523898.328800000250340
Ginkgo biloba L.,276186.860999999567866,509944.422000000253320
Ginkgo biloba L.,222026.413700000382960,527348.842000000178814
Ginkgo biloba L.,216526.437199999578297,494888.129899999126792
Ginkgo biloba L.,216931.058899999596179,512525.003499999642372
Ginkgo biloba L.,249267.436599999666214,471006.722100000828505
Ginkgo biloba L.,320593.288499999791384,502823.458100000396371
Ginkgo biloba L.,318599.094499999657273,521620.920800000429153
Ginkgo biloba L.,316521.608000000007451,526185.870899999514222
Ginkgo biloba L.,261041.877999999560416,469167.225700000301003
Ginkgo biloba L.,261475.053999999538064,467973.577800000086427
