Name,xcoord,ycoord
Taxus,328673.626699999906123,571149.896700000390410
Taxus,339559.254999999888241,541286.530600000172853
Taxus,257516.314899999648333,554080.710599999874830
Taxus,249808.623900000005960,551811.598899999633431
Taxus,330320.076000000350177,570064.383799999952316
Taxus,330320.076000000350177,570064.383799999952316
Taxus,236658.861299999989569,536698.148600000888109
Taxus,256724.489900000393391,536744.319700000807643
Taxus,256724.489900000393391,536744.319700000807643
Taxus,256724.489900000393391,536744.319700000807643
Taxus,274401.742800000123680,538136.405799999833107
Taxus,274401.742800000123680,538136.405799999833107
Taxus,274827.590699999593198,519393.848200000822544
Taxus,341560.791799999773502,561934.899199999868870
Taxus,348878.960599999874830,560739.790200000628829
Taxus,314673.769199999980628,526955.331800000742078
Taxus,359157.393299999646842,512662.079199999570847
Taxus,296754.755400000140071,494806.904799999669194
Taxus,230586.752000000327826,472885.426100000739098
Taxus,223980.614599999971688,552145.730900000780821
Taxus,257948.743300000205636,533841.507999999448657
Taxus,241197.198499999940395,528233.278300000354648
Taxus,223676.541899999603629,542595.510700000450015
Taxus,203712.754700000397861,535965.169700000435114
Taxus,196460.271700000390410,538123.151200000196695
Taxus,240245.702300000004470,506131.914100000634789
Taxus,240435.975800000131130,506430.595100000500679
Taxus,240438.196000000461936,506430.716800000518560
Taxus,216885.606399999931455,529325.369799999520183
Taxus,216550.104700000025332,494916.538000000640750
Taxus,217171.940799999982119,511807.189699999988079
Taxus,224710.152800000272691,511914.126800000667572
Taxus,232217.137099999934435,496076.446100000292063
Taxus,357623.915799999609590,513969.013199999928474
Taxus,353792.064100000075996,512762.123199999332428
Taxus,320975.508299999870360,501035.792300000786781
Taxus,321115.345200000330806,503476.343900000676513
Taxus,303313.650200000032783,516134.807399999350309
Taxus,301226.630900000222027,517251.510099999606609
Taxus,318599.094499999657273,521620.920800000429153
Taxus,316521.608000000007451,526185.870899999514222
Taxus,261535.925200000405312,467748.353399999439716
Taxus,262692.373700000345707,468827.443099999800324
Taxus,317006.232699999585748,534435.732000000774860
Taxus,317905.100999999791384,532749.843900000676513
Taxus,333859.143199999816716,533768.923200000077486
Taxus,355684.558100000023842,550670.429999999701977
Taxus,347489.830000000074506,557531.572200000286102
Taxus,348543.849600000306964,551424.883199999108911
Taxus,341870.479799999855459,561837.803600000217557
Taxus,341942.196499999612570,570937.690199999138713
Taxus,369060.925300000235438,507281.604499999433756
Taxus,369060.925300000235438,507281.604499999433756
