Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.33013E-8,0.00000133,0.000047392,1,0,0
1.44676E-8,0.000002777,0.000051548,0.999900448,0,0
2.58042E-8,0.000010092,0.000091938,0.999601792,0,0
4.07753E-8,0.000027997,0.000145274,0.999104032,0,0
5.03539E-8,0.000051185,0.000179398,0.998606272,0,0
6.84055E-8,0.000103518,0.000243704,0.997710304,0,0
1.13168E-7,0.000257678,0.000403145,0.996017919,0,0
1.40811E-7,0.000512084,0.000501593,0.994026879,0,0
2.13029E-7,0.00101342,0.000758748,0.991239423,0,0
3.65952E-7,0.002531249,0.001303062,0.985963166,0,0
4.75766E-7,0.005030829,0.00169375,0.980089597,0,0
6.61808E-7,0.010013757,0.002355288,0.971229467,0,0
9.94735E-7,0.025026913,0.003538035,0.953210553,0,0
1.38662E-6,0.050046628,0.004928432,0.932304629,0,0
2.00366E-6,0.100161069,0.007113763,0.902837232,0,0
3.10145E-6,0.200260566,0.010989848,0.863115978,0,0
3.94385E-6,0.300183183,0.013953936,0.834843206,0,0
4.72951E-6,0.400290812,0.016710365,0.811747138,0,0
5.39607E-6,0.500133217,0.019042918,0.792035839,0,0
6.07511E-6,0.600575181,0.021413422,0.774614236,0,0
6.63003E-6,0.700286758,0.023346397,0.758984569,0,0
7.03275E-6,0.750225343,0.024746808,0.751717272,0,0
7.32374E-6,0.800532224,0.02575745,0.744748631,0,0
8.03936E-6,0.900501659,0.02823841,0.731806869,0,0
8.74706E-6,1.000626963,0.030685719,0.719960179,0,0
9.39162E-6,1.100407962,0.032909304,0.709009457,0,0
9.89786E-6,1.200824394,0.034652127,0.698656048,0,0
1.0529E-5,1.300877899,0.036820516,0.68889995,0,0
1.10711E-5,1.400193551,0.03867901,0.679741165,0,0
1.1549E-5,1.500740311,0.040314734,0.670881035,0,0
1.28975E-5,1.751264016,0.044914829,0.650472872,0,0
1.40643E-5,2.000269913,0.048877205,0.632155301,0,0
1.55346E-5,2.250487921,0.05384676,0.61533101,0,0
1.71295E-5,2.500261248,0.059208322,0.600099552,0,0
1.84853E-5,2.751034426,0.063742035,0.586062718,0,0
1.96287E-5,3.000866581,0.067548846,0.573021404,0.022222222,0
2.09665E-5,3.251027027,0.071982851,0.560776506,0.022222222,0
2.23823E-5,3.500321538,0.076652376,0.549328024,0.022222222,0
2.34791E-5,3.750825518,0.080253765,0.538476854,0.022222222,0
2.46213E-5,4.000754677,0.083989477,0.528123444,0.022222222,0
2.59056E-5,4.251563417,0.088171597,0.518267795,0.022222222,0
2.72465E-5,4.502058586,0.092517741,0.508909905,0.022222222,0
2.84221E-5,4.752722477,0.096310972,0.499950224,0.022222222,0
2.9789E-5,5.002819646,0.100701596,0.491388751,0.022222222,0
3.10498E-5,5.252301929,0.104732419,0.483225485,0.022222222,0
3.23772E-5,5.500174505,0.108956678,0.475460428,0.022222222,0
3.36102E-5,5.750966862,0.112862663,0.467894475,0.022222222,0
3.50416E-5,6.001997032,0.117375772,0.460627178,0.022222222,0
3.61903E-5,6.251498967,0.120980619,0.453658537,0.022222222,0
3.71679E-5,6.500810595,0.124037395,0.446889,0.022222222,0
3.82108E-5,6.753308295,0.127286177,0.440219014,0.022222222,0
3.94275E-5,7.001247621,0.131061554,0.433847685,0.044444444,0
4.08291E-5,7.2536874,0.13539025,0.427575908,0.044444444,0
4.23016E-5,7.502990582,0.139914578,0.421602787,0.044444444,0
4.39033E-5,7.753037549,0.144808873,0.415828771,0.044444444,0
4.47674E-5,8.001260654,0.147437992,0.410253858,0.044444444,0
4.61153E-5,8.251019729,0.151522657,0.404778497,0.044444444,0
4.75011E-5,8.503768139,0.15570184,0.399402688,0.044444444,0
4.87176E-5,8.753402022,0.159353464,0.394225983,0.044444444,0
4.99478E-5,9.004725585,0.163030238,0.38914883,0.044444444,0
5.11471E-5,9.252617278,0.166599177,0.384270781,0.044444444,0
5.23407E-5,9.501161554,0.170136123,0.379492285,0.044444444,0
5.35641E-5,9.755293012,0.173745551,0.374713788,0.044444444,0
5.46905E-5,10.004278077,0.177054928,0.370134395,0.044444444,0
5.58877E-5,10.252907134,0.180557965,0.365654555,0.044444444,0
5.68348E-5,10.500822205,0.183318643,0.361274266,0.044444444,0
5.8261E-5,10.754367505,0.187458262,0.356893977,0.044444444,0
5.96289E-5,11.002125541,0.191408937,0.352712792,0.044444444,0
6.10948E-5,11.255494071,0.195621029,0.348531608,0.044444444,0
6.23104E-5,11.502244425,0.199097495,0.344549527,0.044444444,0
6.34175E-5,11.754088474,0.202250557,0.340567446,0.044444444,0
6.47298E-5,12.0039883,0.205972026,0.336684918,0.044444444,0
6.58192E-5,12.252090198,0.209048252,0.332901941,0.044444444,0
6.7068E-5,12.504625798,0.212559924,0.329118965,0.044444444,0
6.84396E-5,12.75539488,0.216398819,0.32543554,0.044444444,0
7.00187E-5,13.004925814,0.220795299,0.321851667,0.044444444,0
7.14386E-5,13.252245147,0.224727313,0.318367347,0.044444444,0
7.27742E-5,13.504250443,0.228408163,0.314883026,0.044444444,0
7.39072E-5,13.75347653,0.231516651,0.311498258,0.044444444,0
7.51783E-5,14.007123807,0.234989269,0.308113489,0.044444444,0
7.62302E-5,14.25711776,0.237851062,0.304828273,0.044444444,0
7.77852E-5,14.503547873,0.242062262,0.301642608,0.044444444,0
7.89063E-5,14.753995099,0.24508377,0.298456944,0.044444444,0
8.01949E-5,15.000681999,0.248541909,0.295370831,0.044444444,0
8.15899E-5,15.251519121,0.252267827,0.292284719,0.044444444,0
8.27284E-5,15.50595977,0.255294824,0.289198606,0.044444444,0
8.37839E-5,15.755662726,0.25809026,0.286212046,0.044444444,0
8.48454E-5,16.000426608,0.260890981,0.283325037,0.044444444,0
8.61252E-5,16.257203092,0.264253849,0.280338477,0.044444444,0
8.72147E-5,16.500072891,0.267104241,0.27755102,0.044444444,0
8.87107E-5,16.755294623,0.271000437,0.274664012,0.044444444,0
8.97334E-5,17.005345915,0.273652232,0.271876556,0.044444444,0
9.15012E-5,17.250099619,0.278212845,0.269188651,0.044444444,0
9.28666E-5,17.508021588,0.28171583,0.266401195,0.066666667,0
9.43646E-5,17.75148436,0.285539332,0.263812842,0.066666667,0
9.57985E-5,18.00830795,0.289180284,0.261124938,0.066666667,0
9.77025E-5,18.259657817,0.293986299,0.258536585,0.066666667,0
9.88078E-5,18.505403915,0.29676122,0.256047785,0.066666667,0
9.98875E-5,18.753617109,0.299461435,0.253558985,0.066666667,0
1.01438E-4,19.00543046,0.303320835,0.251070184,0.088888889,0
1.02685E-4,19.25034759,0.306409642,0.248680936,0.088888889,0
1.04145E-4,19.508855673,0.310009046,0.246192135,0.088888889,0
1.06125E-4,19.750868945,0.314859251,0.243902439,0.111111111,0
1.08067E-4,20.007712653,0.319584409,0.241513191,0.111111111,0
1.0974E-4,20.258268198,0.323628546,0.239223494,0.111111111,0
1.11351E-4,20.501630629,0.327499619,0.23703335,0.111111111,0
1.12582E-4,20.758943052,0.33044161,0.234743654,0.111111111,0
1.13631E-4,21.007726286,0.332939464,0.232553509,0.111111111,0
1.15272E-4,21.259894772,0.336828855,0.230363365,0.111111111,0
1.16259E-4,21.503058262,0.339156799,0.228272773,0.111111111,0
1.17618E-4,21.760539305,0.342347913,0.226082628,0.111111111,0
1.19417E-4,22.009682281,0.346550644,0.223992036,0.111111111,0
1.20649E-4,22.261579533,0.349414309,0.221901444,0.111111111,0
1.21736E-4,22.504089443,0.351928405,0.219910403,0.111111111,0
1.23384E-4,22.761595746,0.35572127,0.217819811,0.111111111,0
1.24931E-4,23.010150267,0.359263151,0.215828771,0.111111111,0
1.26178E-4,23.261660333,0.362105372,0.21383773,0.111111111,0
1.27856E-4,23.503375321,0.365906238,0.211946242,0.111111111,0
1.29248E-4,23.760502319,0.369045258,0.209955202,0.111111111,0
1.30618E-4,24.007385816,0.372115693,0.208063713,0.111111111,0
1.31899E-4,24.256932038,0.374974993,0.206172225,0.111111111,0
1.33757E-4,24.509400752,0.379100742,0.204280737,0.133333333,0
1.35457E-4,24.751722388,0.38284977,0.2024888,0.133333333,0
1.3785E-4,25.012037718,0.38809037,0.200597312,0.155555556,0
1.39574E-4,25.261599598,0.391836922,0.198805376,0.155555556,0
1.40689E-4,25.514040961,0.394247806,0.19701344,0.155555556,0
