Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.34429E-8,0.000008344,0.000439166,1,0,0
2.39503E-7,0.000032295,0.001260003,0.999901313,0,0
2.85747E-7,0.000060869,0.001503109,0.999802625,0,0
3.98999E-7,0.000130152,0.002098215,0.99960525,0,0
5.26708E-7,0.000271811,0.00276887,0.999309188,0,0
6.82605E-7,0.000522335,0.003586943,0.998914438,0,0
8.00121E-7,0.001051287,0.00420316,0.998223626,0,0
1.11819E-6,0.002530579,0.005869092,0.996743314,0,0
1.3266E-6,0.005012146,0.006959181,0.994769565,0,0
1.63489E-6,0.01003197,0.008569518,0.991414191,0,0
2.33671E-6,0.025129061,0.01222565,0.983815257,0,0
3.01362E-6,0.050014666,0.01573922,0.974637324,0,0
4.02274E-6,0.10010835,0.020953989,0.960722392,0,0
5.48304E-6,0.200473954,0.028451369,0.939899339,0,0
6.57511E-6,0.300598958,0.034020709,0.923517221,0,0
7.60984E-6,0.400079639,0.039268151,0.909700977,0,0
8.46361E-6,0.500598743,0.043576404,0.897365045,0,0
9.31892E-6,0.600051656,0.047873057,0.88631205,0,0
9.98553E-6,0.700588936,0.051208389,0.876048554,0,0
1.04387E-5,0.750552846,0.05346925,0.871212869,0,0
1.0724E-5,0.800367945,0.054889873,0.866574558,0,0
1.14056E-5,0.900211246,0.058274538,0.857692687,0,0
1.1929E-5,1.000685765,0.060865673,0.849205566,0,0
1.26067E-5,1.100134374,0.064210472,0.841211882,0.007518797,0
1.3086E-5,1.200369971,0.066568641,0.83351426,0.007518797,0
1.36051E-5,1.300389321,0.069115666,0.826112701,0.015037594,0
1.42034E-5,1.400530412,0.072043203,0.819007204,0.022556391,0
1.46894E-5,1.500374371,0.074414165,0.81219777,0.022556391,0
1.60949E-5,1.751010005,0.081237387,0.796111714,0.030075188,0
1.72764E-5,2.001181708,0.086933954,0.781308596,0.030075188,0
1.86616E-5,2.251598411,0.093567503,0.767591039,0.030075188,0
1.98837E-5,2.501967829,0.099380422,0.75476167,0.030075188,0
2.11309E-5,2.750334491,0.105274171,0.742820488,0.030075188,0
2.22895E-5,3.000556242,0.110714527,0.73147143,0.030075188,0
2.32727E-5,3.250975272,0.115305431,0.72061581,0.030075188,0
2.42865E-5,3.500553468,0.120014168,0.710253627,0.030075188,0
2.54438E-5,3.752415847,0.125359127,0.700286194,0.030075188,0
2.6435E-5,4.001148604,0.129910942,0.690812198,0.030075188,0
2.72599E-5,4.250867403,0.133681388,0.681634264,0.030075188,0
2.84018E-5,4.501385963,0.138873188,0.672752393,0.030075188,0
2.93436E-5,4.752922285,0.143131942,0.664166584,0.037593985,0
3.01951E-5,5.000246735,0.1469642,0.655975526,0.037593985,0
3.1057E-5,5.251542077,0.150825924,0.647883154,0.037593985,0
3.19489E-5,5.500656394,0.154803726,0.640086845,0.037593985,0
3.28024E-5,5.753232337,0.158592635,0.632389223,0.037593985,0
3.37238E-5,6.002955624,0.162663806,0.624987664,0.045112782,0
3.44433E-5,6.251930787,0.165829476,0.61778348,0.052631579,0
3.52923E-5,6.502632599,0.16954918,0.610677983,0.060150376,0
3.63222E-5,6.753594645,0.174039476,0.603769861,0.060150376,0
3.71594E-5,7.00325536,0.177671505,0.597059114,0.060150376,0
3.8076E-5,7.251500817,0.181630012,0.590545742,0.060150376,0
3.89715E-5,7.502066651,0.185478701,0.584131057,0.060150376,0
3.99046E-5,7.750508605,0.189470066,0.577913747,0.067669173,0
4.07954E-5,8.000688136,0.193261979,0.571795125,0.067669173,0
4.18275E-5,8.252681787,0.197633096,0.56577519,0.067669173,0
4.25863E-5,8.501784969,0.200831787,0.55995263,0.067669173,0
4.33952E-5,8.75113446,0.204227934,0.554228758,0.067669173,0
