Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.8189E-10,0.000000098,0.000002704,1,0,0
2.20079E-9,0.000000318,0.000006061,0.999900468,0,0
3.02799E-9,0.000001221,0.00000834,0.999601871,0,0
5.82594E-9,0.000002696,0.000016046,0.999303275,0,0
9.68392E-9,0.000010332,0.000026671,0.998307953,0,0
1.43202E-8,0.000025348,0.00003944,0.997113566,0,0
1.99798E-8,0.000050115,0.000055026,0.995720115,0,0
2.6819E-8,0.000101184,0.000073861,0.993530407,0,0
4.00015E-8,0.000253303,0.000110165,0.989051458,0,0
5.4331E-8,0.00050377,0.000149626,0.983676719,0,0
8.05992E-8,0.001007132,0.00022196,0.976211805,0,0
1.42771E-7,0.002511932,0.000393139,0.962675426,0,0
2.25062E-7,0.005018972,0.000619669,0.948939982,0,0
3.79895E-7,0.010026849,0.00104575,0.932318105,0,0
7.04145E-7,0.02502476,0.00193746,0.904150493,0,0
1.16976E-6,0.050084231,0.003216547,0.877177267,0,0
2.01571E-6,0.100178568,0.005536248,0.845028367,0,0
3.33452E-6,0.200166228,0.009141804,0.807007067,0,0
4.45819E-6,0.300357077,0.012203564,0.78132776,0,0
5.39852E-6,0.400078091,0.014758487,0.761122723,0,0
6.2353E-6,0.500565305,0.017026497,0.743903653,0,0
7.06185E-6,0.600222598,0.019261645,0.728973823,0,0
7.74388E-6,0.700228116,0.021102162,0.715536976,0,0
8.08762E-6,0.750153997,0.02202847,0.709266448,0,0
8.52005E-6,0.800127851,0.023192526,0.703294516,0,0
9.27149E-6,0.900112166,0.025212032,0.69214691,0,0
9.89473E-6,1.000572415,0.02688383,0.681696029,0,0
1.05151E-5,1.100852576,0.028544963,0.671941873,0,0
1.12352E-5,1.200018911,0.030469873,0.662884443,0,0
1.17847E-5,1.300129452,0.031936057,0.654225142,0,0
1.24002E-5,1.400521143,0.033575811,0.645963969,0,0
1.30672E-5,1.501197914,0.035349425,0.638100926,0,0
1.47207E-5,1.750805883,0.039732523,0.620284662,0,0
1.63703E-5,2.001186896,0.044085413,0.604259978,0,0
1.79513E-5,2.250092163,0.04823873,0.589827809,0,0
1.9324E-5,2.500242739,0.051830134,0.576490495,0,0
2.09391E-5,2.75056534,0.056038455,0.564148502,0,0
2.22931E-5,3.002108419,0.059552172,0.552602767,0,0
2.35098E-5,3.251918995,0.062698259,0.541753757,0,0
2.48942E-5,3.501216462,0.066265241,0.531501941,0,0
2.60973E-5,3.750858142,0.06935409,0.521747785,0,0
2.73484E-5,4.002412104,0.072555531,0.512391759,0,0
2.86861E-5,4.25165396,0.075966017,0.503533393,0,0
2.98959E-5,4.501220536,0.079039773,0.495073156,0,0
3.09613E-5,4.75037381,0.081738371,0.486911516,0,0
3.20557E-5,5.002141295,0.084501901,0.47894894,0,0
3.31706E-5,5.250336609,0.0873087,0.471384493,0,0
3.4315E-5,5.500197937,0.090180839,0.46401911,0,0
3.5692E-5,5.752036176,0.09362492,0.456852792,0,0
3.69607E-5,6.002687419,0.096786402,0.44998507,0,0
3.80612E-5,6.250353185,0.099519845,0.443415945,0,0
3.90524E-5,6.501743058,0.101974753,0.436946352,0,0
3.99938E-5,6.750611923,0.104300028,0.430675824,0,0
4.10212E-5,7.001442271,0.106831038,0.424504827,0,0
4.19699E-5,7.250053174,0.109161824,0.418532895,0,0
4.29089E-5,7.500574751,0.111462547,0.412660496,0,0
4.40037E-5,7.752389021,0.114137756,0.406887628,0,0
4.4982E-5,8.001431215,0.116521333,0.401313825,0,0
4.60111E-5,8.251299531,0.119021911,0.395839554,0,0
4.71839E-5,8.503050612,0.12186306,0.390464815,0,0
4.83322E-5,8.75126292,0.124635753,0.385289141,0,0
4.96727E-5,9.000799263,0.127861637,0.380212999,0,0
5.09625E-5,9.252293219,0.130954412,0.375236389,0.021276596,0
5.21603E-5,9.504959997,0.133816596,0.370359311,0.021276596,0
5.33617E-5,9.752929494,0.136677966,0.365681298,0.021276596,0
5.45524E-5,10.001329214,0.139504357,0.361102817,0.021276596,0
5.58718E-5,10.255053734,0.142625726,0.356524336,0.042553191,0
5.70841E-5,10.503488934,0.145483528,0.352144919,0.042553191,0
5.83921E-5,10.752101644,0.148556307,0.347865034,0.042553191,0
5.94E-5,11.005643454,0.150916764,0.34358515,0.042553191,0
6.03994E-5,11.251163079,0.153250478,0.33950433,0.042553191,0
6.13169E-5,11.500657805,0.155387519,0.33542351,0.042553191,0
6.27781E-5,11.754901724,0.15877983,0.331342689,0.042553191,0
6.41932E-5,12.002757981,0.162051999,0.327460934,0.042553191,0
6.52682E-5,12.255137378,0.164529402,0.323579178,0.042553191,0
6.61759E-5,12.504794657,0.166615332,0.319796954,0.042553191,0
6.74108E-5,12.751932673,0.169445058,0.316114263,0.042553191,0
6.85217E-5,13.00341262,0.17198232,0.312431572,0.042553191,0
6.95441E-5,13.252049743,0.174310505,0.308848412,0.042553191,0
7.03801E-5,13.503991975,0.176209425,0.305265253,0.042553191,0
7.14979E-5,13.752525755,0.178741713,0.301781626,0.042553191,0
7.30882E-5,14.00558162,0.182330958,0.298297999,0.042553191,0
7.4402E-5,14.256579653,0.185284225,0.294913905,0.085106383,0
7.55032E-5,14.503719449,0.18775145,0.291629342,0.085106383,0
7.67415E-5,14.755037613,0.190517017,0.28834478,0.085106383,0
7.78573E-5,15.002511603,0.193000727,0.285159749,0.085106383,0
7.89711E-5,15.253595435,0.195472428,0.281974719,0.085106383,0
7.98345E-5,15.507638696,0.197383437,0.278789688,0.085106383,0
8.07947E-5,15.756583713,0.19950323,0.27570419,0.085106383,0
8.1771E-5,16.000737957,0.201652783,0.272718224,0.106382979,0
8.28807E-5,16.256050475,0.204089038,0.269632726,0.106382979,0
8.40754E-5,16.506464427,0.206703551,0.26664676,0.106382979,0
8.51439E-5,16.752075018,0.20903464,0.263760326,0.106382979,0
8.60344E-5,17.000434389,0.210972135,0.260873893,0.106382979,0
8.77345E-5,17.252181017,0.21465807,0.257987459,0.127659574,0
8.9138E-5,17.508625896,0.217687916,0.255101025,0.127659574,0
9.03078E-5,17.750999097,0.220204407,0.252413656,0.127659574,0
9.13391E-5,18.005297766,0.222416064,0.249626754,0.127659574,0
9.23026E-5,18.253169812,0.224476885,0.246939385,0.127659574,0
9.35425E-5,18.504121274,0.227120736,0.244252016,0.127659574,0
9.55454E-5,18.750057058,0.231372389,0.241664178,0.127659574,0
9.67025E-5,19.000125417,0.233818038,0.239076341,0.127659574,0
9.78613E-5,19.25337854,0.23625931,0.236488504,0.127659574,0
9.93638E-5,19.509821857,0.23941326,0.233900667,0.127659574,0
1.00417E-4,19.759574274,0.241616183,0.231412362,0.127659574,0
1.01621E-4,20.002070484,0.244126634,0.229023589,0.127659574,0
1.02825E-4,20.25756494,0.246630134,0.226535284,0.127659574,0
1.0395E-4,20.505889344,0.248959982,0.224146511,0.127659574,0
1.05014E-4,20.756873374,0.251157738,0.221757739,0.127659574,0
1.06005E-4,21.01018212,0.253198365,0.219368966,0.127659574,0
1.0726E-4,21.255711037,0.255775145,0.217079725,0.127659574,0
