class,AGCLS,corrosion_degree,dem,DMCLS,Drainage_degree,FIFTH_FRTP,landform,lithoidx,LV2_CODE,prec_aver,slope,soil_depth,soil_structure,soil_type,temper_aver
0,1,2,62.08048,1,2,1,2,12,220,106.41666,4.06901,3,7,8,11.375
0,1,2,135.4977,1,2,19,1,47,420,109.66666,3.12495,3,4,13,11.425
0,5,2,551.57245,3,1,15,1,7,320,107.66666,12.22063,2,4,13,10.05833
0,6,2,264.84998,3,1,9,1,12,310,108.08334,13.66424,3,4,13,10.375
0,1,2,93.45921,1,2,1,2,47,220,108.83334,4.42599,3,4,8,11.14167
0,6,2,333.41022,3,1,9,1,47,330,110.41666,19.52476,3,4,13,10.05
0,5,2,79.73691,3,2,15,2,42,220,106,2.34704,3,7,8,11.08333
0,1,1,9.43167,1,2,1,7,66,110,106.16666,0.06873,4,1,7,11.74167
0,5,2,477.02219,3,1,9,1,12,320,104.33334,,3,4,13,9.175
0,1,1,84.17584,1,2,1,7,12,250,106.91666,3.21721,4,1,7,11.00833
0,1,1,26.52935,1,4,1,7,66,210,107.33334,0.08226,3,10,3,11.49167
0,5,2,465.78427,3,1,6,1,12,310,110.58334,16.7552,1,1,13,9.34167
0,1,2,214.18468,1,1,1,2,12,320,100.83334,4.68392,3,4,8,11.025
0,5,2,260.72375,3,1,9,1,12,310,107.58334,14.99009,3,4,13,10.36667
0,6,2,298.88696,3,1,6,1,47,310,111.16666,11.08713,3,4,13,9.99167
0,7,1,873.15088,4,1,4,1,64,330,113.41666,27.80869,2,4,13,7.34167
0,1,2,143.25223,1,2,1,2,12,220,109.16666,1.20553,3,4,8,10.76667
0,4,2,325.98633,2,1,4,1,7,320,105.66666,11.29571,2,4,13,10.15833
0,1,1,514.93359,1,2,7,5,10,220,108.33334,9.91043,3,5,10,9.475
0,1,1,75.10324,1,3,1,6,66,110,106.41666,0.94872,4,11,2,11.06667
0,1,2,159.79623,1,2,1,1,7,220,103.25,7.23596,3,5,13,11.31667
0,6,2,344.48074,3,1,4,1,12,320,102.58334,5.05604,3,4,13,10.55
0,7,1,1064.0946,4,1,9,1,50,310,114.16666,25.997,2,3,13,7.14167
0,4,1,452.44846,2,2,15,3,7,220,108.83334,10.70005,2,4,10,9.05833
0,4,2,560.17004,2,1,15,1,9,320,108.25,21.48249,1,8,13,9.15
0,6,2,183.1487,3,1,9,1,20,320,105.75,3.34,2,4,13,10.91667
0,1,2,783.02985,1,2,1,1,33,220,111.83334,18.48406,3,5,13,8.06667
0,4,1,781.58215,2,1,9,1,64,320,111.08334,20.95432,2,4,13,8.30833
0,5,2,269.21475,3,1,6,1,42,310,108.41666,9.44991,2,4,13,9.49167
0,5,1,248.86711,3,2,6,4,47,310,109.25,5.05269,4,4,7,10.41667
0,5,1,265.93079,3,2,4,3,12,320,106.16666,8.47839,3,5,7,10.15833
