class,temper_aver,prec_aver,soil_type,soil_structure,landform,corrosion_degree,Drainage_degree,soil_depth,LV2_CODE,lithoidx,FIFTH_FRTP,DMCLS,AGCLS,slope,dem
0,7.5,111.58334,13,7,1,1,2,3,220,12,15,2,4,3.92967,849.34631
0,10.25833,103.91666,13,4,1,2,1,2,320,68,15,3,5,22.37656,371.40591
0,11.3,104.75,3,10,7,1,4,4,320,12,4,4,7,4.41594,109.06484
0,8.69167,109.41666,13,4,1,2,1,3,320,58,15,3,5,10.18564,672.65643
0,8.96667,108.91666,13,4,1,2,1,3,710,45,1,1,1,8.42481,519.95874
0,7.66667,112.25,7,4,4,1,2,4,250,12,1,1,1,9.56651,759.54297
0,8.56667,106.91666,13,4,1,1,2,2,310,12,9,3,6,19.1883,531.03625
0,9.65833,110.66666,13,1,2,2,2,3,310,36,6,3,5,28.14674,534.51849
0,10.76667,106,13,4,1,2,1,2,310,47,6,3,6,6.67039,96.06599
0,10.325,103.5,13,4,1,2,1,3,320,58,15,3,5,22.79666,464.21176
0,9.7,110.66666,13,1,1,2,1,1,320,47,15,3,5,14.1385,308.3277
0,10.975,105.91666,3,4,7,1,3,1,430,12,1,1,1,0.56369,88.39718
0,10.84167,107,8,5,2,2,2,3,240,50,1,1,1,2.6528,123.14128
0,11.53333,105.33334,999,999,999,999,999,999,710,1,1,1,1,0.30335,134.65353
0,11.425,103.66666,13,9,1,1,2,3,710,1,1,1,1,5.82425,136.73941
0,7.46667,114.91666,13,1,1,2,1,1,310,47,9,3,6,25.97098,981.18817
0,11.43333,105.25,7,5,4,1,2,4,220,12,1,1,1,5.50329,84.18049
0,8.65833,109.58334,13,4,1,2,1,3,320,12,4,3,5,6.16289,632.37543
0,11.03333,108,7,4,4,1,2,4,110,12,1,1,1,2.55922,159.2538
0,11.59167,109.58334,13,4,1,2,1,3,150,47,1,1,1,3.3824,56.44996
0,9.36667,108.66666,13,4,1,2,1,2,320,47,15,2,3,17.3365,384.45929
0,9.01667,110.83334,13,1,1,2,1,1,310,56,6,3,6,28.45095,793.88055
0,10.8,102.66666,999,999,999,999,999,999,220,33,1,1,1,9.41151,166.20958
0,10.68333,109.5,3,4,5,1,3,2,320,47,14,2,3,12.08355,156.56152
0,10.63333,105.5,13,1,2,2,2,3,240,39,9,4,7,15.51667,260.68185
0,6.86667,113.08334,13,3,1,1,1,2,320,12,9,3,6,14.84881,926.01062
0,7.525,113.16666,13,2,1,1,1,2,320,5,9,3,6,14.65723,961.6543
0,11.76667,108.16666,8,7,2,2,2,3,120,66,1,1,1,1.53632,26.21971
0,11.275,107,999,999,999,999,999,999,710,1,1,1,1,0.33386,25.77532
0,9.78333,107.58334,13,1,1,2,1,1,330,53,15,3,5,18.04173,374.53891
0,9.51667,107.5,13,2,1,2,1,2,320,9,4,3,6,12.96577,569.36841
0,7.48333,111.75,13,7,1,1,2,3,320,12,9,4,7,19.57035,874.86829
0,10.85,107.08334,13,4,1,2,1,2,330,47,9,3,6,7.2591,189.45236
0,10.7,107.66666,8,4,2,2,1,3,220,12,1,1,1,7.97138,151.61877
0,10.74167,107.66666,13,4,1,2,1,3,320,12,9,2,4,10.13496,229.71907
0,10.575,98.08334,13,4,1,2,2,2,220,62,1,1,1,11.00897,247.74971
0,10.74167,108.83334,13,4,1,2,1,3,320,47,14,1,2,5.68039,179.1752
0,8.51667,111.33334,13,4,1,2,1,3,330,58,9,3,5,12.21866,592.68176
0,11.175,109.66666,9,1,3,1,2,2,320,47,15,3,6,10.82939,111.82217
0,11.08333,106.33334,3,4,7,1,3,3,330,66,15,2,4,7.34612,93.22414
0,10.59167,106.58334,4,10,4,1,6,2,330,12,16,3,5,3.95543,119.87943
0,10.8,108.66666,3,10,4,1,4,4,110,47,1,1,1,2.81613,132.0132
0,11.2,99.66666,13,4,1,2,1,3,320,12,9,2,4,6.30931,220.71477
0,9.575,110.58334,13,2,1,2,1,2,330,9,6,3,6,16.69548,451.18729
0,9.975,110.16666,13,4,1,2,1,3,320,47,15,3,5,11.09081,323.80969
0,11.10833,105.41666,7,4,4,1,2,4,220,12,1,1,1,2.8053,118.7253
0,11.675,105.83334,8,4,2,2,2,3,210,12,1,1,1,2.16498,88.43188
0,10.53333,106.83334,13,1,1,2,2,3,220,36,9,3,6,2.06775,216.39378
0,8.01667,110.5,11,4,3,1,2,2,310,12,9,3,6,14.47204,715.70728
0,8.74167,106.33334,13,4,1,2,1,3,320,47,15,2,4,9.84401,540.19421
0,8.025,111.25,13,7,1,1,2,3,320,24,6,3,5,18.45297,679.60431
0,11.88333,105.75,7,5,4,1,3,3,220,12,1,1,1,1.99506,21.2666
0,8.15,111.25,13,4,1,2,1,3,320,50,9,3,6,20.74336,655.98669
0,11.05833,107.75,10,8,3,1,3,2,250,66,1,1,1,0.23877,85.23045
