class,AGCLS,corrosion_degree,dem,DMCLS,Drainage_degree,FIFTH_FRTP,landform,lithoidx,LV2_CODE,prec_aver,slope,soil_depth,soil_structure,soil_type,temper_aver
1,5,1,387.88196,3,2,6,3,47,310,110.5,12.39676,2,1,9,10.025
1,5,2,320.4585,3,2,6,1,47,310,110.5,13.70859,2,4,13,10.025
1,2,1,325.29214,1,2,6,3,47,310,109.5,13.53724,2,1,9,10.28333
1,5,2,305.02161,3,2,6,1,47,320,110.5,12.08575,2,4,13,10.025
1,5,2,305.02161,3,2,6,1,47,320,110.5,12.08575,2,4,13,10.025
1,5,1,387.88196,3,2,6,3,47,310,110.5,12.39676,2,1,9,10.025
1,5,2,383.27762,3,2,6,1,47,310,110.5,14.67989,2,4,13,10.025
1,5,2,375.4003,3,2,6,1,47,310,110.5,15.53819,2,4,13,10.025
1,5,2,376.47562,3,2,6,1,47,310,110.5,12.65524,2,4,13,10.025
1,2,2,297.34793,1,2,6,1,47,310,110.5,12.64721,2,4,13,10.025
1,5,2,416.4949,3,2,6,1,47,310,110.5,16.65459,2,4,13,10.025
1,2,1,345.0889,1,2,6,3,47,310,110.5,13.70411,2,1,9,10.025
1,5,2,355.30118,3,2,6,1,47,320,110.5,15.16158,2,4,13,10.025
1,5,1,387.88196,3,2,6,3,47,310,110.5,12.39676,2,1,9,10.025
1,2,2,297.34793,1,2,6,1,47,310,110.5,12.64721,2,4,13,10.025
1,5,2,354.96545,3,2,6,1,47,310,110.5,15.37718,2,4,13,10.025
1,3,1,359.45889,2,2,14,3,47,310,110.5,13.80567,2,1,9,10.025
1,5,2,416.4949,3,2,6,1,47,310,110.5,16.65459,2,4,13,10.025
1,2,2,297.34793,1,2,6,1,47,310,110.5,12.64721,2,4,13,10.025
1,5,1,281.46558,3,2,6,3,47,310,110.5,11.09305,2,1,9,10.025
1,5,2,320.4585,3,2,6,1,47,310,110.5,13.70859,2,4,13,10.025
1,3,1,318.17307,2,2,14,3,47,310,109.5,12.78528,2,1,9,10.28333
1,5,2,299.13409,3,2,6,1,47,320,110.5,12.89962,2,4,13,10.025
1,5,1,309.97205,3,2,6,3,47,310,109.5,12.01854,2,1,9,10.28333
1,2,2,375.2879,1,2,6,1,47,310,110.5,16.41048,2,4,13,10.025
1,5,2,354.96545,3,2,6,1,47,310,110.5,15.37718,2,4,13,10.025
1,3,1,338.67535,2,2,14,3,47,310,110.5,13.59187,2,1,9,10.025
1,3,1,366.87213,2,2,15,3,47,310,110.5,13.67861,2,1,9,10.025
1,5,2,305.02161,3,2,6,1,47,320,110.5,12.08575,2,4,13,10.025
1,5,2,376.47562,3,2,6,1,47,310,110.5,12.65524,2,4,13,10.025
1,3,1,327.08429,2,2,14,3,47,310,110.5,12.80037,2,1,9,10.025
1,5,1,387.88196,3,2,6,3,47,310,110.5,12.39676,2,1,9,10.025
1,5,2,305.02161,3,2,6,1,47,320,110.5,12.08575,2,4,13,10.025
1,5,2,340.11136,3,2,6,1,47,310,110.5,15.62551,2,4,13,10.025
1,3,1,318.17307,2,2,14,3,47,310,109.5,12.78528,2,1,9,10.28333
1,3,1,318.17307,2,2,14,3,47,310,109.5,12.78528,2,1,9,10.28333
1,5,2,380.46912,3,2,6,1,47,310,110.5,13.67923,2,4,13,10.025
1,5,2,380.46912,3,2,6,1,47,310,110.5,13.67923,2,4,13,10.025
1,5,1,387.88196,3,2,6,3,47,310,110.5,12.39676,2,1,9,10.025
1,3,1,359.45889,2,2,14,3,47,310,110.5,13.80567,2,1,9,10.025
1,5,2,195.74428,3,1,9,1,47,330,107.08334,21.20393,3,4,13,10.58333
1,5,2,267.43805,3,1,9,1,47,330,107.66666,16.36226,3,4,13,10.5
1,5,2,294.02481,3,1,16,1,47,330,107.66666,13.38211,3,4,13,10.5
1,5,1,241.21239,3,2,9,4,47,330,107.08334,19.44845,4,4,7,10.58333
1,5,2,214.8168,3,1,9,1,47,330,107.66666,16.71328,3,4,13,10.5
1,5,2,260.45432,3,1,16,1,47,330,107.66666,13.77832,3,4,13,10.5
1,5,2,223.82031,3,1,16,1,47,330,107.66666,15.14092,3,4,13,10.5
1,4,2,190.66104,2,1,15,1,47,210,107.66666,5.48835,3,4,13,10.5
1,4,2,190.66104,2,1,15,1,47,210,107.66666,5.48835,3,4,13,10.5
1,5,2,296.97195,3,1,16,1,47,330,107.08334,11.22229,3,4,13,10.58333
1,5,2,205.99689,3,1,9,1,47,320,107.66666,11.28951,3,4,13,10.5
1,4,2,190.66104,2,1,15,1,47,210,107.66666,5.48835,3,4,13,10.5
1,5,2,259.36917,3,1,16,1,47,330,107.66666,15.87705,3,4,13,10.5
1,5,2,205.99689,3,1,9,1,47,320,107.66666,11.28951,3,4,13,10.5
1,5,2,195.74428,3,1,9,1,47,330,107.08334,21.20393,3,4,13,10.58333
1,1,2,187.70471,1,1,1,1,47,210,107.66666,16.98498,3,4,13,10.5
