class,AGCLS,corrosion_degree,dem,DMCLS,Drainage_degree,FIFTH_FRTP,landform,lithoidx,LV2_CODE,prec_aver,slope,soil_depth,soil_structure,soil_type,temper_aver
1,1,1,286.4137,1,2,7,3,47,310,110.33334,19.63276,2,1,9,9.91667
1,4,2,392.59943,2,2,9,1,47,320,110.33334,27.09383,3,4,13,9.91667
1,1,1,229.61041,1,3,7,5,47,320,110.33334,12.2552,2,4,3,9.91667
1,6,2,274.89529,3,2,15,1,47,320,110.33334,15.55686,3,4,13,9.91667
1,4,2,387.69894,2,2,9,1,47,320,110.33334,31.53724,3,4,13,9.91667
1,6,2,358.53802,3,2,15,1,47,320,110.33334,21.85507,3,4,13,9.91667
1,6,1,303.6532,4,2,15,3,47,320,110.33334,22.68343,2,1,9,9.91667
1,1,1,222.89717,1,2,7,3,47,320,110.33334,11.3449,2,4,9,9.91667
1,6,2,339.58334,3,2,15,1,47,320,110.33334,18.46084,3,4,13,9.91667
1,6,2,257.57483,4,2,15,1,47,320,110.33334,16.36082,3,4,13,9.91667
1,6,2,358.53802,3,2,15,1,47,320,110.33334,21.85507,3,4,13,9.91667
1,1,2,334.4017,1,2,7,1,47,310,110.33334,22.28995,3,4,13,9.91667
1,4,2,392.59943,2,2,9,1,47,320,110.33334,27.09383,3,4,13,9.91667
1,6,2,358.53802,3,2,15,1,47,320,110.33334,21.85507,3,4,13,9.91667
1,1,1,222.89717,1,2,7,3,47,320,110.33334,11.3449,2,4,9,9.91667
1,6,2,334.13022,4,2,15,1,47,320,110.33334,30.60807,3,4,13,9.91667
1,1,2,256.5083,1,2,7,1,47,310,110.33334,16.72914,3,4,13,9.91667
1,6,2,256.61838,3,2,15,1,47,320,110.33334,15.0986,3,4,13,9.91667
1,6,1,329.98889,3,2,15,3,47,320,110.33334,17.38178,2,1,9,9.91667
1,6,2,286.33255,4,2,15,1,47,320,110.33334,24.03046,3,4,13,9.91667
1,6,2,250.75415,3,2,15,1,47,320,110.33334,11.54719,3,4,13,9.91667
1,4,2,387.69894,2,2,9,1,47,320,110.33334,31.53724,3,4,13,9.91667
1,6,2,334.13022,4,2,15,1,47,320,110.33334,30.60807,3,4,13,9.91667
1,6,2,319.5903,4,2,15,1,47,320,110.33334,26.1355,3,4,13,9.91667
1,6,1,269.16336,3,2,15,3,47,320,110.33334,20.04022,2,1,9,9.91667
1,1,1,229.61041,1,3,7,5,47,320,110.33334,12.2552,2,4,3,9.91667
1,6,2,286.9339,3,2,15,1,47,310,110.33334,18.24174,3,4,13,9.91667
1,6,2,274.04196,3,2,15,1,47,310,110.33334,10.98257,3,4,13,9.91667
1,6,2,302.94958,3,2,15,1,47,320,110.33334,17.00315,3,4,13,9.91667
1,6,2,360.01199,3,2,15,1,47,320,110.33334,27.14441,3,4,13,9.91667
1,6,2,236.96779,3,2,15,1,47,320,110.33334,10.08801,3,4,13,9.91667
1,6,2,227.01103,3,2,15,1,47,320,110.33334,12.25636,3,4,13,9.91667
1,6,2,339.58334,3,2,15,1,47,320,110.33334,18.46084,3,4,13,9.91667
1,6,2,236.96779,3,2,15,1,47,320,110.33334,10.08801,3,4,13,9.91667
1,6,2,256.61838,3,2,15,1,47,320,110.33334,15.0986,3,4,13,9.91667
1,6,1,314.45242,3,2,15,3,47,320,110.33334,18.96866,2,1,9,9.91667
1,6,2,295.38681,3,2,15,1,47,310,110.33334,10.08761,3,4,13,9.91667
1,1,2,256.5083,1,2,7,1,47,310,110.33334,16.72914,3,4,13,9.91667
1,6,2,274.89529,3,2,15,1,47,320,110.33334,15.55686,3,4,13,9.91667
1,6,2,279.3526,4,2,15,1,47,320,110.33334,21.7841,3,4,13,9.91667
1,6,2,217.01283,3,2,15,1,47,320,110.33334,8.59506,3,4,13,9.91667
1,6,2,302.94958,3,2,15,1,47,320,110.33334,17.00315,3,4,13,9.91667
1,1,2,256.5083,1,2,7,1,47,310,110.33334,16.72914,3,4,13,9.91667
1,6,2,236.96779,3,2,15,1,47,320,110.33334,10.08801,3,4,13,9.91667
1,6,2,250.75415,3,2,15,1,47,320,110.33334,11.54719,3,4,13,9.91667
1,1,1,250.44571,1,2,7,3,47,320,110.33334,15.84227,2,1,9,9.91667
1,1,2,334.4017,1,2,7,1,47,310,110.33334,22.28995,3,4,13,9.91667
1,6,2,360.01199,3,2,15,1,47,320,110.33334,27.14441,3,4,13,9.91667
1,6,2,279.3526,4,2,15,1,47,320,110.33334,21.7841,3,4,13,9.91667
1,6,1,329.98889,3,2,15,3,47,320,110.33334,17.38178,2,1,9,9.91667
1,6,2,279.3526,4,2,15,1,47,320,110.33334,21.7841,3,4,13,9.91667
1,1,1,222.89717,1,2,7,3,47,320,110.33334,11.3449,2,4,9,9.91667
1,6,1,314.45242,3,2,15,3,47,320,110.33334,18.96866,2,1,9,9.91667
1,6,2,302.94958,3,2,15,1,47,320,110.33334,17.00315,3,4,13,9.91667
1,1,1,286.4137,1,2,7,3,47,310,110.33334,19.63276,2,1,9,9.91667
1,6,2,227.01103,3,2,15,1,47,320,110.33334,12.25636,3,4,13,9.91667
1,6,1,242.16101,3,2,15,3,47,320,110.33334,15.10091,2,4,9,9.91667
1,4,2,392.59943,2,2,9,1,47,320,110.33334,27.09383,3,4,13,9.91667
1,6,2,319.5903,4,2,15,1,47,320,110.33334,26.1355,3,4,13,9.91667
1,6,2,227.01103,3,2,15,1,47,320,110.33334,12.25636,3,4,13,9.91667
1,4,2,392.59943,2,2,9,1,47,320,110.33334,27.09383,3,4,13,9.91667
1,6,2,256.61838,3,2,15,1,47,320,110.33334,15.0986,3,4,13,9.91667
1,6,1,242.16101,3,2,15,3,47,320,110.33334,15.10091,2,4,9,9.91667
1,1,1,222.89717,1,2,7,3,47,320,110.33334,11.3449,2,4,9,9.91667
1,6,2,358.53802,3,2,15,1,47,320,110.33334,21.85507,3,4,13,9.91667
1,6,1,269.16336,3,2,15,3,47,320,110.33334,20.04022,2,1,9,9.91667
1,6,2,274.04196,3,2,15,1,47,310,110.33334,10.98257,3,4,13,9.91667
1,6,2,250.75415,3,2,15,1,47,320,110.33334,11.54719,3,4,13,9.91667
1,4,2,392.59943,2,2,9,1,47,320,110.33334,27.09383,3,4,13,9.91667
1,6,1,303.6532,4,2,15,3,47,320,110.33334,22.68343,2,1,9,9.91667
1,6,2,217.01283,3,2,15,1,47,320,110.33334,8.59506,3,4,13,9.91667
1,6,2,274.04196,3,2,15,1,47,310,110.33334,10.98257,3,4,13,9.91667
1,4,2,434.61755,2,2,9,1,47,320,110.33334,28.87695,3,4,13,9.91667
1,6,2,358.53802,3,2,15,1,47,320,110.33334,21.85507,3,4,13,9.91667
1,6,1,269.16336,3,2,15,3,47,320,110.33334,20.04022,2,1,9,9.91667
1,6,2,274.89529,3,2,15,1,47,320,110.33334,15.55686,3,4,13,9.91667
1,6,2,318.86594,3,2,15,1,47,320,110.33334,15.50178,3,4,13,9.91667
1,6,2,295.16663,3,2,15,1,47,310,110.33334,13.27266,3,4,13,9.91667
1,6,1,303.6532,4,2,15,3,47,320,110.33334,22.68343,2,1,9,9.91667
1,6,2,318.86594,3,2,15,1,47,320,110.33334,15.50178,3,4,13,9.91667
1,6,2,358.53802,3,2,15,1,47,320,110.33334,21.85507,3,4,13,9.91667
1,1,1,229.61041,1,3,7,5,47,320,110.33334,12.2552,2,4,3,9.91667
1,1,1,250.44571,1,2,7,3,47,320,110.33334,15.84227,2,1,9,9.91667
1,6,2,319.5903,4,2,15,1,47,320,110.33334,26.1355,3,4,13,9.91667
