class,AGCLS,corrosion_degree,dem,DMCLS,Drainage_degree,FIFTH_FRTP,landform,lithoidx,LV2_CODE,prec_aver,slope,soil_depth,soil_structure,soil_type,temper_aver
1,4,1,251.38887,2,2,15,4,36,320,108.16666,11.68114,4,4,7,10.34167
1,1,2,204.24893,1,2,1,1,36,220,106.41666,6.21824,3,1,13,10.86667
1,6,2,214.68208,3,2,15,1,36,320,106.41666,8.64363,3,1,13,10.86667
1,1,1,207.56834,1,2,1,4,36,220,106.41666,7.06404,4,5,7,10.86667
1,1,2,239.95163,1,2,1,1,36,220,108.16666,14.07101,3,1,13,10.34167
1,4,1,207.84018,2,2,15,4,36,220,106.41666,7.12788,4,4,7,10.86667
1,6,2,252.24272,3,2,15,1,36,320,106.5,11.57292,3,1,13,10.73333
1,6,2,236.97054,3,2,9,1,36,330,108.16666,14.17933,3,1,13,10.34167
1,6,1,198.36075,3,2,9,4,36,330,106.41666,5.68929,4,5,7,10.86667
1,6,1,251.49928,3,2,9,4,36,320,108.16666,15.51084,4,4,7,10.34167
1,6,1,198.36075,3,2,9,4,36,330,106.41666,5.68929,4,5,7,10.86667
1,6,2,222.18829,3,2,9,1,36,220,106.41666,9.79417,3,1,13,10.86667
1,4,2,233.70813,2,2,15,1,36,220,108.16666,10.93457,3,1,13,10.34167
1,1,1,190.72214,1,2,1,4,36,210,106.41666,5.25565,4,5,7,10.86667
1,1,1,207.56834,1,2,1,4,36,220,106.41666,7.06404,4,5,7,10.86667
1,1,2,204.24893,1,2,1,1,36,220,106.41666,6.21824,3,1,13,10.86667
1,6,1,198.36075,3,2,9,4,36,330,106.41666,5.68929,4,5,7,10.86667
1,4,2,233.70813,2,2,15,1,36,220,108.16666,10.93457,3,1,13,10.34167
1,6,2,237.68559,3,2,15,1,36,320,106.5,11.94758,3,1,13,10.73333
1,1,1,219.21822,1,2,1,4,36,220,108.16666,10.59296,4,5,7,10.34167
1,4,1,207.84018,2,2,15,4,36,220,106.41666,7.12788,4,4,7,10.86667
1,1,2,204.24893,1,2,1,1,36,220,106.41666,6.21824,3,1,13,10.86667
1,6,2,228.63145,3,2,15,1,36,320,108.16666,10.02415,3,1,13,10.34167
1,1,1,217.16237,1,2,1,4,36,220,106,9.18558,4,4,7,10.83333
1,6,2,252.24272,3,2,15,1,36,320,106.5,11.57292,3,1,13,10.73333
1,6,1,188.51158,3,2,4,4,36,220,106.41666,7.0783,4,5,7,10.86667
1,4,1,207.84018,2,2,15,4,36,220,106.41666,7.12788,4,4,7,10.86667
1,1,2,204.24893,1,2,1,1,36,220,106.41666,6.21824,3,1,13,10.86667
1,6,2,284.46417,3,2,9,1,36,320,108.16666,16.72843,3,1,13,10.34167
1,6,2,228.63145,3,2,15,1,36,320,108.16666,10.02415,3,1,13,10.34167
1,3,3,160.93231,2,1,9,1,12,320,107.25,22.17671,1,1,13,11.1
1,3,3,156.26332,2,1,9,1,12,320,107.25,11.6082,1,1,13,11.1
1,3,3,114.23481,2,1,9,1,12,320,107.25,13.40392,1,1,13,11.1
1,4,3,82.6349,2,1,9,1,12,320,107.25,9.94258,1,1,13,11.1
1,4,3,82.6349,2,1,9,1,12,320,107.25,9.94258,1,1,13,11.1
1,1,3,99.71639,1,1,1,1,12,320,107.25,12.3449,1,1,13,11.1
1,1,3,99.71639,1,1,1,1,12,320,107.25,12.3449,1,1,13,11.1
1,3,3,130.3253,2,1,9,1,12,320,107.25,16.0938,1,1,13,11.1
1,3,3,124.32922,2,1,9,1,12,320,107.25,15.70479,1,1,13,11.1
1,3,3,160.93231,2,1,9,1,12,320,107.25,22.17671,1,1,13,11.1
1,3,3,104.7623,2,1,9,1,12,320,107.25,10.4071,1,1,13,11.1
1,3,3,124.32922,2,1,9,1,12,320,107.25,15.70479,1,1,13,11.1
1,3,3,130.3253,2,1,9,1,12,320,107.25,16.0938,1,1,13,11.1
1,3,3,130.85658,2,1,9,1,12,310,107.25,14.46996,1,1,13,11.1
1,1,3,69.22849,1,1,1,1,47,220,105.41666,8.81259,1,1,13,11.64167
1,4,2,111.80153,2,2,9,2,12,310,107.25,14.08707,3,4,8,11.1
1,3,3,172.32875,2,1,9,1,12,320,107.25,20.63308,1,1,13,11.1
1,3,3,158.25021,2,1,9,1,12,320,107.25,24.08709,1,1,13,11.1
1,1,3,86.57185,1,1,1,1,12,320,107.25,10.96885,1,1,13,11.1
1,1,3,78.42016,1,1,1,1,12,320,107.25,8.06816,1,1,13,11.1
1,4,3,75.31843,4,1,16,1,47,320,105.41666,10.59848,1,1,13,11.64167
1,3,3,160.93231,2,1,9,1,12,320,107.25,22.17671,1,1,13,11.1
1,3,3,162.86107,2,1,9,1,12,310,107.25,22.86002,1,1,13,11.1
1,3,3,208.50711,2,1,9,1,12,320,107.25,21.75371,1,1,13,11.1
1,4,3,138.74103,2,1,9,1,12,310,107.25,13.4716,1,1,13,11.1
1,3,3,207.5529,2,1,9,1,12,310,107.25,18.83225,1,1,13,11.1
1,1,3,78.42016,1,1,1,1,12,320,107.25,8.06816,1,1,13,11.1
1,4,3,82.6349,2,1,9,1,12,320,107.25,9.94258,1,1,13,11.1
1,4,3,82.6349,2,1,9,1,12,320,107.25,9.94258,1,1,13,11.1
