class,temper_aver,prec_aver,soil_type,soil_structure,landform,corrosion_degree,Drainage_degree,soil_depth,LV2_CODE,lithoidx,FIFTH_FRTP,DMCLS,AGCLS,slope,dem
1,4.875,120.08334,13,3,1,1,1,2,330,47,6,3,5,18.3114,1430.38489
1,4.875,120.08334,13,3,1,1,1,2,310,47,6,4,7,18.24512,1425.54102
1,5.2,118.16666,13,3,1,1,1,2,310,47,6,4,7,20.75133,1436.79407
1,5.2,118.16666,13,3,1,1,1,2,310,47,6,4,7,15.95148,1437.73853
1,4.875,120.08334,13,3,1,1,1,2,330,47,6,3,5,18.3114,1430.38489
1,5.2,118.16666,13,3,1,1,1,2,310,47,6,4,7,15.95148,1437.73853
1,5.73333,116.25,13,3,1,1,1,2,330,47,9,4,7,24.1932,1326.34302
1,4.875,120.08334,13,3,1,1,1,2,330,47,6,3,5,23.79749,1421.91797
1,5.2,118.16666,13,3,1,1,1,2,320,47,9,4,7,17.82198,1438.33276
1,4.875,120.08334,13,3,1,1,1,2,320,47,9,4,7,18.45329,1442.42346
1,4.875,120.08334,13,3,1,1,1,2,330,47,9,4,7,24.8441,1313.91223
1,5.2,118.16666,13,3,1,1,1,2,310,47,18,2,3,10.42828,1462.02588
1,4.875,120.08334,13,3,1,1,1,2,330,47,9,4,7,19.74208,1313.75977
1,4.875,120.08334,13,3,1,1,1,2,330,47,9,4,7,22.23687,1294.91272
1,4.875,120.08334,13,3,1,1,1,2,330,47,9,4,7,27.03461,1379.12878
1,4.875,120.08334,13,3,1,1,1,2,310,47,6,2,3,8.01603,1456.88318
1,4.875,120.08334,13,3,1,1,1,2,330,47,9,4,7,24.16749,1332.3584
1,5.2,118.16666,13,3,1,1,1,2,310,47,6,4,7,20.75133,1436.79407
1,4.875,120.08334,13,3,1,1,1,2,330,47,6,3,5,19.80518,1428.89636
1,4.875,120.08334,13,3,1,1,1,2,330,47,9,4,7,22.23687,1294.91272
1,5.2,118.16666,13,3,1,1,1,2,310,47,6,4,7,15.95148,1437.73853
1,5.2,118.16666,13,3,1,1,1,2,320,47,9,4,7,17.82198,1438.33276
1,4.875,120.08334,13,3,1,1,1,2,310,47,6,2,3,8.01603,1456.88318
1,4.875,120.08334,13,3,1,1,1,2,330,47,6,3,5,19.80518,1428.89636
1,4.875,120.08334,13,3,1,1,1,2,330,47,9,4,7,19.74208,1313.75977
1,4.875,120.08334,13,3,1,1,1,2,330,47,18,2,3,7.35127,1447.73865
1,5.2,118.16666,13,3,1,1,1,2,310,47,6,4,7,20.75133,1436.79407
1,4.875,120.08334,13,3,1,1,1,2,330,47,9,4,7,25.49529,1394.25769
1,5.2,118.16666,13,3,1,1,1,2,310,47,6,4,7,15.95148,1437.73853
1,4.875,120.08334,13,3,1,1,1,2,310,47,18,2,3,5.91691,1454.73804
1,4.875,120.08334,13,3,1,1,1,2,330,47,9,4,7,22.23687,1294.91272
1,5.73333,116.25,13,3,1,1,1,2,330,47,9,4,7,23.2429,1287.84998
